Age,Gender,Country,treatment,work_interfere,remote_work,mental_health_consequence,phys_health_consequence,mental_vs_physical
22,M,United States,Yes,Often,No,Maybe,No,Don't know
33,M,United States,No,N/N,Yes,No,No,Don't know
31,M,United States,No,N/N,Yes,Maybe,Maybe,Don't know
32,M,United States,No,Never,Yes,Maybe,No,Don't know
28,M,Switzerland,No,N/N,No,No,No,Don't know
27,No binarie/others,United States,Yes,Rarely,No,Maybe,No,Don't know
32,No binarie/others,United States,No,N/N,Yes,No,No,Yes
24,M,United States,Yes,Sometimes,Yes,No,Maybe,No
26,M,United States,No,N/N,No,No,No,Don't know
33,M,Canada,Yes,Often,Yes,Yes,No,Don't know
44,M,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
26,F,Poland,Yes,Sometimes,Yes,No,No,Yes
27,M,United Kingdom,No,Never,No,No,No,Yes
26,M,France,No,N/N,No,Yes,No,No
35,M,Canada,No,Sometimes,No,No,No,Don't know
40,M,United States,No,Sometimes,Yes,Yes,Maybe,No
23,F,Australia,Yes,Often,Yes,No,No,Yes
36,M,United States,No,Sometimes,Yes,Maybe,No,Yes
31,F,United States,No,N/N,Yes,Maybe,No,Don't know
34,M,United States,No,Rarely,Yes,Maybe,No,Don't know
28,M,France,No,Never,No,Maybe,No,Don't know
34,M,Canada,No,Never,No,No,No,Don't know
23,No binarie/others,United States,No,Rarely,No,Maybe,No,No
38,M,United Kingdom,No,N/N,No,No,No,Yes
33,M,United States,No,Never,No,Maybe,No,Yes
19,M,United Kingdom,No,N/N,No,Yes,No,No
25,M,United States,No,N/N,Yes,No,No,Yes
31,M,United States,No,Sometimes,Yes,No,No,Yes
32,M,United States,Yes,Sometimes,Yes,Yes,No,No
28,M,Germany,No,Never,Yes,No,No,Yes
38,M,United States,No,Sometimes,Yes,No,No,Yes
23,M,United Kingdom,No,Never,No,No,No,Yes
30,M,Canada,No,Never,No,No,No,No
27,No binarie/others,United States,Yes,Often,Yes,Maybe,Maybe,Yes
33,M,United States,No,Never,No,Yes,No,No
31,M,United States,No,N/N,No,No,No,No
39,M,United Kingdom,Yes,Often,No,Maybe,No,No
34,F,United States,Yes,Rarely,Yes,Yes,Maybe,Don't know
29,F,United States,Yes,Sometimes,No,Maybe,No,No
32,M,United States,No,N/N,No,No,No,Don't know
31,M,United States,No,Never,No,No,No,Yes
40,M,United States,Yes,Sometimes,No,No,No,No
34,M,United States,No,N/N,No,Maybe,No,Don't know
18,No binarie/others,Russia,No,N/N,Yes,No,No,Don't know
25,F,Canada,Yes,Sometimes,No,Maybe,No,Don't know
29,M,United States,No,Never,No,No,No,No
24,M,United States,No,Rarely,No,Maybe,Maybe,Don't know
31,M,Mexico,Yes,Sometimes,No,No,No,No
33,No binarie/others,United States,Yes,Sometimes,No,Maybe,No,No
30,M,United States,Yes,Often,No,No,No,Yes
26,F,Canada,Yes,Sometimes,No,Yes,No,No
44,F,United States,No,Never,No,Maybe,Maybe,Don't know
25,M,United States,No,N/N,No,No,No,Don't know
33,M,United States,Yes,Sometimes,Yes,No,No,Yes
29,M,United States,No,Never,No,No,No,Don't know
35,M,United States,No,Rarely,No,No,No,Don't know
35,M,United States,Yes,Sometimes,Yes,No,No,No
28,M,Brazil,Yes,Rarely,No,Maybe,No,Don't know
34,M,United States,No,Never,Yes,Maybe,No,Don't know
32,M,United States,Yes,Sometimes,No,Maybe,No,Yes
22,M,United States,Yes,Sometimes,No,Yes,No,No
28,M,United States,Yes,Sometimes,No,No,No,Yes
45,M,United States,Yes,Rarely,Yes,No,No,Yes
32,M,United States,No,Never,No,Maybe,No,Don't know
28,M,United States,No,N/N,No,Maybe,No,Don't know
26,M,United Kingdom,No,Never,No,No,No,Don't know
21,M,United Kingdom,No,Often,Yes,Yes,No,No
27,M,Canada,No,Rarely,No,Maybe,No,Don't know
18,M,United States,Yes,Rarely,Yes,No,No,Don't know
35,M,United States,No,N/N,Yes,No,No,Don't know
29,M,United States,No,Never,No,Yes,Yes,Don't know
25,M,United States,No,N/N,Yes,No,No,Don't know
33,M,United States,Yes,Sometimes,Yes,No,No,Yes
36,M,United States,No,Often,No,Maybe,No,Don't know
27,M,Canada,Yes,Never,No,Maybe,No,No
27,M,United States,No,Never,No,Yes,No,Don't know
27,M,United Kingdom,No,N/N,No,No,No,Don't know
32,M,United States,Yes,Rarely,No,Yes,No,Don't know
31,M,United Kingdom,No,Sometimes,No,Maybe,Maybe,Yes
19,M,Slovenia,Yes,Sometimes,No,Yes,Yes,Don't know
33,M,United States,Yes,Sometimes,No,Maybe,No,No
32,M,United States,No,Rarely,Yes,Maybe,No,Don't know
27,M,United States,No,Never,No,No,No,Don't know
38,M,Costa Rica,No,N/N,Yes,No,No,No
24,M,Canada,Yes,Never,No,No,No,Don't know
39,M,United Kingdom,No,Never,No,Yes,Maybe,Don't know
28,M,United Kingdom,No,Never,No,No,No,Yes
39,M,United States,Yes,Often,No,No,No,Don't know
29,F,United States,No,N/N,No,Maybe,No,Don't know
22,M,Austria,No,N/N,Yes,No,No,Don't know
38,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
37,M,United Kingdom,Yes,Sometimes,No,Yes,Yes,Yes
35,M,United States,No,Never,Yes,Yes,No,Don't know
30,F,United States,No,N/N,Yes,Maybe,Maybe,Don't know
37,M,United States,Yes,Rarely,No,Maybe,Maybe,Don't know
24,M,United Kingdom,No,Never,No,Maybe,Maybe,Don't know
23,M,United States,No,Sometimes,No,Yes,Yes,No
30,M,Ireland,Yes,Rarely,No,Yes,No,No
29,F,United States,No,N/N,Yes,Maybe,No,Don't know
19,M,Canada,No,N/N,Yes,Maybe,No,Don't know
32,M,United States,No,Never,No,No,No,No
28,M,Poland,No,Rarely,Yes,No,No,Yes
36,M,United States,No,Never,No,No,No,Don't know
37,M,United Kingdom,Yes,Rarely,No,Yes,Maybe,No
25,M,United States,Yes,Sometimes,No,Maybe,No,No
27,M,United States,Yes,Sometimes,No,No,No,Don't know
26,M,United States,No,Often,No,Yes,Maybe,No
27,M,United States,Yes,Rarely,Yes,Maybe,No,Don't know
25,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
36,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Don't know
25,F,United States,Yes,Sometimes,No,Yes,Yes,Don't know
31,M,United States,No,Never,No,No,No,Don't know
26,M,United States,No,Rarely,No,Maybe,No,Don't know
33,F,United States,Yes,Sometimes,No,No,No,Yes
27,F,United Kingdom,No,N/N,Yes,No,No,Yes
34,M,United States,No,Never,No,Maybe,No,Don't know
42,M,United States,No,N/N,No,Maybe,No,No
23,M,Ireland,No,Sometimes,No,Yes,No,No
24,M,United Kingdom,No,Rarely,No,Maybe,Maybe,Don't know
26,M,United Kingdom,Yes,Sometimes,No,No,No,Don't know
31,M,United Kingdom,Yes,Often,No,Maybe,No,Don't know
22,M,India,Yes,Never,No,Yes,Maybe,No
23,F,United States,No,N/N,No,Maybe,Maybe,Yes
34,F,Canada,Yes,Sometimes,No,No,No,No
31,M,United States,No,Never,No,Maybe,No,Don't know
28,M,United Kingdom,No,N/N,No,No,No,Yes
32,F,United States,Yes,Often,Yes,No,No,Yes
45,F,United States,Yes,Sometimes,No,No,No,Yes
33,M,United States,No,N/N,Yes,No,No,Don't know
29,M,Mexico,No,Never,Yes,Maybe,Maybe,No
26,F,India,No,Sometimes,No,Maybe,Maybe,Don't know
28,F,United Kingdom,No,Never,No,No,No,Don't know
45,M,United States,Yes,Sometimes,No,Yes,Yes,Don't know
43,M,United States,Yes,Often,Yes,Yes,Maybe,No
37,M,United States,No,N/N,Yes,Yes,No,No
24,M,United Kingdom,No,Sometimes,No,Maybe,No,Yes
26,M,France,No,N/N,Yes,No,No,Yes
23,M,United Kingdom,No,N/N,Yes,No,No,Don't know
35,F,United States,Yes,Never,No,Maybe,No,Don't know
38,F,South Africa,Yes,Often,Yes,Maybe,Maybe,Don't know
28,M,United States,Yes,Sometimes,No,Maybe,Maybe,No
28,M,Russia,No,Sometimes,No,Yes,Maybe,Don't know
35,M,United States,Yes,Rarely,No,No,No,Don't know
32,F,Germany,No,Sometimes,No,Yes,Yes,No
31,M,Italy,No,Never,No,Maybe,Maybe,Don't know
35,F,United States,No,Never,Yes,Maybe,Maybe,Don't know
26,M,United States,No,Rarely,No,No,No,No
27,M,United States,No,N/N,Yes,Maybe,Maybe,Yes
28,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Don't know
27,F,United States,Yes,Sometimes,No,No,No,Yes
34,F,United States,Yes,Sometimes,No,Maybe,No,Yes
41,M,United States,Yes,Often,Yes,Maybe,Maybe,Don't know
37,M,Ireland,No,Sometimes,No,Yes,No,Don't know
34,M,Austria,No,N/N,Yes,No,No,Yes
32,M,United Kingdom,Yes,Sometimes,Yes,Yes,Maybe,No
21,M,Canada,Yes,Sometimes,Yes,No,No,Yes
30,M,United States,Yes,Often,No,Maybe,No,Don't know
24,M,United States,No,Never,No,No,No,Don't know
26,M,Bulgaria,No,N/N,No,Yes,Maybe,Don't know
40,F,United States,No,N/N,No,No,No,Yes
37,M,United Kingdom,No,Sometimes,No,Yes,Maybe,Don't know
26,M,United Kingdom,Yes,Often,Yes,Yes,No,Don't know
32,F,United States,Yes,Sometimes,No,Yes,Maybe,No
32,F,United States,Yes,Sometimes,No,No,No,Yes
27,F,United States,Yes,Sometimes,Yes,No,No,Don't know
30,M,Germany,Yes,Often,Yes,No,No,Yes
31,M,Canada,No,N/N,No,No,No,Yes
29,F,United States,Yes,Never,No,Maybe,No,Don't know
41,No binarie/others,United States,No,N/N,No,Yes,No,Don't know
34,F,United States,No,N/N,No,No,No,Yes
33,M,United Kingdom,No,N/N,No,No,No,Don't know
28,M,United States,No,Rarely,No,No,No,Don't know
28,M,United States,Yes,Sometimes,No,Yes,No,No
23,M,United States,No,Never,No,No,No,Yes
24,M,United States,No,N/N,No,No,No,Yes
32,M,United States,No,Rarely,Yes,No,No,Yes
34,M,Australia,No,Sometimes,Yes,Yes,Yes,Yes
24,M,United States,No,Never,No,Maybe,No,Yes
26,M,United Kingdom,Yes,Sometimes,No,Maybe,No,Yes
36,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
41,M,United States,Yes,Rarely,Yes,Maybe,Maybe,No
38,M,United Kingdom,Yes,Sometimes,No,Yes,No,No
38,M,United States,No,Sometimes,Yes,Maybe,Maybe,No
30,M,Netherlands,No,N/N,No,No,No,Yes
25,M,United Kingdom,No,Never,No,Yes,Maybe,No
37,M,Canada,Yes,Often,No,Maybe,No,Don't know
34,M,United Kingdom,No,N/N,No,No,No,No
37,F,United States,Yes,Sometimes,No,No,No,Yes
28,F,Canada,Yes,Sometimes,No,No,No,No
22,M,Sweden,No,N/N,No,No,No,No
34,M,United States,Yes,Sometimes,No,Maybe,No,No
33,M,United States,Yes,Sometimes,No,No,No,Don't know
25,M,South Africa,No,N/N,No,Maybe,No,No
27,M,United States,No,Never,Yes,No,No,Yes
40,M,United States,Yes,Sometimes,Yes,Yes,Maybe,No
21,M,United States,Yes,Often,No,Maybe,No,Don't know
29,M,United Kingdom,No,N/N,No,No,No,Yes
32,M,United States,Yes,Sometimes,Yes,Maybe,No,Don't know
29,F,United States,Yes,Rarely,Yes,Maybe,No,Don't know
23,M,United States,Yes,Sometimes,Yes,Maybe,No,Yes
28,M,United States,No,N/N,No,No,No,Yes
31,M,United States,Yes,Rarely,Yes,No,No,Yes
27,M,United Kingdom,No,N/N,No,Maybe,Maybe,Don't know
24,M,United States,No,Sometimes,No,No,No,Don't know
29,M,Canada,No,Often,No,Yes,No,Don't know
23,F,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Yes
42,M,United States,No,Never,Yes,No,No,Yes
24,M,United Kingdom,No,N/N,No,Yes,No,No
25,M,Australia,Yes,Often,No,Yes,Maybe,No
27,F,United States,Yes,Rarely,No,Maybe,Maybe,Don't know
27,M,Canada,No,Sometimes,Yes,Yes,Yes,No
30,M,United States,Yes,Sometimes,Yes,No,No,Yes
29,M,Poland,Yes,Rarely,No,Maybe,No,No
43,M,Canada,No,N/N,Yes,Maybe,No,Don't know
32,M,United States,No,N/N,No,No,No,Don't know
41,M,United States,Yes,Sometimes,Yes,No,No,Yes
32,M,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
37,F,United States,Yes,Often,No,Maybe,No,Don't know
32,M,United States,No,Never,Yes,No,No,Don't know
30,M,Ireland,No,Sometimes,Yes,No,No,No
23,F,United States,Yes,Never,No,No,No,Yes
30,M,United States,No,N/N,No,No,No,Yes
34,M,United Kingdom,No,Sometimes,No,Maybe,Maybe,Don't know
38,M,United States,Yes,Rarely,Yes,Yes,No,No
33,M,Canada,No,N/N,No,No,No,Don't know
34,M,United States,No,N/N,No,Maybe,No,Don't know
28,M,Colombia,No,Sometimes,No,Maybe,Maybe,Don't know
28,M,United States,Yes,Rarely,No,Maybe,No,Yes
23,M,United States,No,Sometimes,No,Maybe,No,No
22,M,Australia,Yes,Sometimes,Yes,Maybe,No,No
27,M,Portugal,No,Never,No,Yes,No,Don't know
18,M,United States,Yes,Sometimes,No,Yes,No,Don't know
35,M,United States,Yes,Sometimes,No,Yes,No,Don't know
25,M,Canada,No,N/N,No,No,No,No
27,M,United Kingdom,Yes,Sometimes,No,Maybe,Maybe,Yes
26,F,United States,Yes,Rarely,No,Maybe,No,Don't know
18,M,United States,No,Never,No,No,No,Yes
38,F,United States,Yes,Sometimes,No,No,Maybe,Don't know
26,F,United States,Yes,Rarely,Yes,Maybe,No,Don't know
30,M,Switzerland,No,Never,No,No,No,Yes
35,M,United States,No,Never,No,Yes,Maybe,Don't know
45,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
32,M,United States,No,Never,No,Maybe,No,Don't know
56,M,United States,Yes,Never,No,No,Maybe,Don't know
24,F,United States,No,N/N,No,Maybe,Maybe,No
30,F,United States,Yes,Sometimes,No,No,No,Yes
60,M,United States,No,N/N,No,No,No,Yes
33,M,United States,Yes,Sometimes,No,Yes,No,Don't know
37,M,United States,No,Never,No,No,No,Don't know
23,F,United States,Yes,Sometimes,No,No,No,Yes
31,F,United States,Yes,Sometimes,No,No,No,Yes
26,M,United States,No,Rarely,No,No,No,Don't know
28,F,United States,Yes,Often,Yes,Yes,No,Yes
37,F,United States,Yes,Rarely,No,No,No,Yes
26,M,Canada,Yes,Often,No,Maybe,No,Yes
30,No binarie/others,United States,Yes,Rarely,No,Maybe,No,Don't know
26,M,United States,No,N/N,No,No,No,Don't know
25,M,United States,No,N/N,Yes,No,No,Don't know
27,M,United States,No,Sometimes,No,Maybe,No,Don't know
25,M,Canada,Yes,Often,Yes,Yes,Maybe,Don't know
35,M,United States,Yes,Rarely,No,No,No,Don't know
36,M,United States,Yes,Never,No,Maybe,No,Yes
26,M,United States,Yes,Sometimes,No,Yes,No,No
27,M,United States,No,N/N,No,No,No,Yes
30,M,United States,No,N/N,No,Maybe,Maybe,Don't know
29,M,United States,No,N/N,No,Maybe,No,Don't know
25,M,United States,No,Never,No,No,No,Yes
22,F,United States,Yes,Often,No,Maybe,No,Yes
29,M,Latvia,No,N/N,No,Maybe,Maybe,Don't know
41,M,United States,Yes,Rarely,Yes,No,No,Yes
29,M,United States,Yes,Sometimes,No,Yes,No,No
32,M,United States,No,Never,No,No,No,Yes
24,F,United States,Yes,Sometimes,No,Maybe,No,Don't know
25,M,United States,Yes,Rarely,No,Maybe,No,Don't know
25,M,United States,No,N/N,No,Maybe,No,Don't know
30,F,United States,No,Never,No,Maybe,Maybe,Don't know
25,M,United States,Yes,Sometimes,No,No,No,Yes
30,M,United States,No,Never,Yes,Maybe,No,Don't know
33,M,Germany,Yes,Rarely,No,Yes,Yes,Yes
24,M,United States,No,N/N,No,No,No,Yes
25,M,Canada,Yes,Sometimes,No,Yes,Maybe,No
31,M,United States,No,N/N,No,Maybe,No,No
45,M,Ireland,Yes,Often,No,No,No,Don't know
29,M,Romania,No,N/N,Yes,Maybe,Maybe,No
46,M,United States,No,Never,No,No,No,Don't know
30,M,United Kingdom,Yes,Sometimes,No,Yes,Maybe,Don't know
29,F,United States,No,Sometimes,No,Maybe,Maybe,Don't know
24,M,United States,No,N/N,No,Yes,No,Don't know
29,M,United States,No,N/N,No,No,No,Yes
35,M,United States,No,N/N,No,No,No,No
33,F,United States,No,Sometimes,Yes,Yes,Maybe,No
27,M,United States,No,Sometimes,No,Yes,No,No
36,M,United States,No,N/N,No,Maybe,No,Don't know
33,M,United Kingdom,No,Rarely,Yes,Yes,Maybe,No
25,F,United States,Yes,Sometimes,No,No,No,Don't know
23,M,United States,Yes,Sometimes,No,No,No,Don't know
54,M,United States,Yes,Never,No,No,No,Don't know
22,M,United States,No,Sometimes,No,Maybe,No,Don't know
25,No binarie/others,United States,Yes,Sometimes,No,Maybe,No,Yes
29,M,Belgium,No,Often,No,Maybe,No,Don't know
27,M,United States,Yes,Sometimes,No,No,No,Yes
30,M,United Kingdom,No,Never,No,No,No,Yes
26,M,United States,Yes,Often,No,Maybe,No,Don't know
25,F,Sweden,No,Sometimes,No,No,No,No
31,M,United States,Yes,Sometimes,No,No,No,No
33,M,United States,Yes,Sometimes,No,Maybe,No,Don't know
34,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
34,M,United States,Yes,Sometimes,Yes,Yes,Yes,Don't know
29,M,United States,No,N/N,Yes,No,No,Yes
33,F,United States,No,N/N,No,Maybe,No,Don't know
34,M,Germany,Yes,Rarely,Yes,No,No,Yes
26,M,United States,Yes,Rarely,Yes,Maybe,No,No
32,M,United States,Yes,Rarely,No,No,No,Yes
31,M,United States,Yes,Often,Yes,Maybe,No,No
28,M,United States,Yes,Sometimes,No,Maybe,Maybe,No
35,M,United States,No,N/N,No,No,No,Don't know
36,M,United States,Yes,Often,No,No,No,Don't know
21,M,United States,Yes,Rarely,No,No,No,Don't know
21,M,United Kingdom,Yes,Sometimes,No,Yes,No,No
22,F,United States,No,N/N,No,No,No,Yes
41,M,United States,Yes,Often,No,Maybe,No,No
55,M,United States,Yes,Rarely,No,No,No,Yes
32,F,United States,Yes,Sometimes,No,Maybe,No,Yes
21,F,United States,Yes,Rarely,No,Yes,No,Don't know
45,M,United States,Yes,Never,Yes,Maybe,No,Don't know
27,F,United States,Yes,Rarely,No,Yes,Maybe,No
25,F,United States,Yes,Sometimes,Yes,Maybe,No,Yes
34,F,United States,Yes,Rarely,No,Maybe,Maybe,Yes
26,F,United States,Yes,Never,No,Maybe,No,Don't know
41,M,Canada,Yes,Never,No,No,No,Don't know
27,M,United States,Yes,Rarely,No,No,No,Yes
31,M,United States,Yes,Sometimes,Yes,No,No,Don't know
25,M,Germany,Yes,Often,Yes,No,No,No
26,M,United States,Yes,Sometimes,No,Yes,Yes,No
27,F,United States,Yes,Rarely,Yes,Maybe,Maybe,Don't know
42,M,New Zealand,No,Never,No,No,No,Don't know
29,No binarie/others,United States,Yes,Sometimes,Yes,Yes,No,No
25,F,United States,Yes,Sometimes,No,Yes,No,Don't know
33,F,Sweden,Yes,Rarely,No,Maybe,No,Don't know
31,No binarie/others,Zimbabwe,Yes,Often,No,Yes,Yes,No
40,F,United States,Yes,Rarely,No,Maybe,Maybe,Don't know
31,M,United States,No,Never,No,Yes,No,Don't know
26,M,Canada,Yes,Often,Yes,No,No,Yes
24,F,United States,No,N/N,No,Yes,Maybe,No
29,M,United States,No,Never,No,Maybe,No,Don't know
48,M,United Kingdom,No,N/N,No,Maybe,Maybe,No
35,M,United Kingdom,No,Sometimes,No,Maybe,Maybe,No
32,F,United States,No,Never,No,Maybe,No,Don't know
29,M,Canada,Yes,Sometimes,No,Maybe,No,Yes
26,M,United States,Yes,Often,No,Maybe,No,No
28,M,United States,Yes,Sometimes,No,Maybe,No,No
23,M,United States,No,N/N,No,No,No,No
35,M,United States,Yes,Sometimes,No,Maybe,Maybe,No
29,M,Germany,Yes,Sometimes,No,Maybe,No,Don't know
26,M,United States,No,N/N,No,No,No,No
33,M,United States,Yes,Never,Yes,Yes,Maybe,Yes
33,M,United States,No,N/N,Yes,Yes,No,Yes
22,M,Brazil,No,Never,Yes,No,No,Don't know
30,F,Spain,No,N/N,No,Yes,Maybe,Don't know
33,M,United States,Yes,Often,Yes,Yes,No,No
31,F,United States,Yes,Rarely,No,Yes,Maybe,No
21,M,United States,No,Never,No,No,No,Don't know
31,No binarie/others,United Kingdom,Yes,Sometimes,No,Yes,Maybe,Yes
26,F,United States,Yes,Sometimes,Yes,No,No,Yes
30,M,United States,No,Often,No,Maybe,No,Don't know
30,No binarie/others,Germany,Yes,Sometimes,No,No,No,No
23,M,India,No,N/N,No,No,No,No
34,M,Finland,No,Never,No,No,No,Don't know
55,M,United States,Yes,Sometimes,Yes,Yes,Maybe,No
28,M,Germany,Yes,Rarely,Yes,No,No,Yes
26,M,Uruguay,No,N/N,Yes,No,No,Don't know
28,M,New Zealand,Yes,Sometimes,Yes,No,No,Yes
32,M,United Kingdom,Yes,Sometimes,No,No,No,Don't know
28,F,United States,Yes,Rarely,No,Maybe,No,Don't know
21,M,United States,No,Sometimes,No,No,No,Yes
24,M,United States,Yes,Sometimes,No,Yes,No,No
26,F,United States,No,N/N,No,Maybe,No,Don't know
23,M,United States,No,N/N,No,No,No,Don't know
24,F,United States,No,N/N,No,No,No,Yes
28,M,Canada,No,Never,Yes,Maybe,No,Yes
24,F,United States,Yes,Rarely,No,Yes,No,Yes
33,M,United States,Yes,Often,Yes,Yes,Maybe,Don't know
34,M,United States,No,Sometimes,No,Maybe,No,Don't know
27,F,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
28,M,United States,No,Never,No,No,No,Don't know
26,M,United States,No,N/N,No,No,No,Don't know
20,M,Australia,No,N/N,Yes,No,No,Don't know
23,F,United States,Yes,Sometimes,No,Maybe,No,Don't know
29,M,United States,Yes,Rarely,Yes,No,No,Yes
26,M,United Kingdom,No,Sometimes,No,Maybe,Maybe,No
36,M,United States,No,Rarely,Yes,Maybe,No,Don't know
41,M,United States,Yes,Sometimes,No,Maybe,No,Yes
33,F,United States,No,N/N,Yes,No,No,Yes
23,M,Canada,Yes,Sometimes,No,No,No,Yes
39,M,United States,No,Often,No,Yes,No,No
34,M,United States,No,N/N,No,Maybe,No,Don't know
26,F,United States,Yes,Sometimes,No,Yes,Maybe,No
24,M,United States,Yes,Rarely,No,No,No,Don't know
37,M,Canada,Yes,Rarely,No,Maybe,Maybe,Don't know
43,M,United States,Yes,Often,Yes,No,No,Yes
40,No binarie/others,United States,No,Never,No,Yes,Maybe,Yes
30,M,United States,Yes,Often,No,Yes,No,No
34,M,United States,Yes,Sometimes,No,Yes,Yes,Don't know
27,M,United States,Yes,Sometimes,No,Yes,No,Don't know
36,M,United States,No,Sometimes,No,No,No,Don't know
27,M,Brazil,No,Rarely,No,Maybe,No,No
35,M,Netherlands,No,Never,No,Yes,No,Don't know
32,M,United Kingdom,No,Never,No,Maybe,No,Yes
37,M,United States,No,N/N,No,Maybe,Maybe,Don't know
29,M,United Kingdom,No,N/N,No,No,No,Yes
33,F,United States,No,Never,No,Maybe,No,Yes
28,M,United States,No,Sometimes,Yes,Yes,Maybe,Don't know
26,F,United States,No,Never,No,Maybe,Maybe,No
27,M,United States,Yes,Sometimes,Yes,Yes,No,Yes
38,M,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Yes
57,M,United States,Yes,Rarely,No,Maybe,No,No
28,M,United Kingdom,Yes,Sometimes,No,Yes,Maybe,No
26,M,France,No,Never,No,Maybe,No,No
42,F,Netherlands,Yes,Rarely,Yes,Yes,No,Don't know
31,M,United States,Yes,Sometimes,Yes,No,No,Yes
58,M,United States,Yes,Rarely,No,Maybe,No,Yes
29,M,United States,No,Sometimes,No,Yes,No,No
39,F,United Kingdom,Yes,Sometimes,No,Yes,No,No
34,M,United States,No,Sometimes,Yes,Maybe,No,Don't know
57,M,United States,Yes,Sometimes,No,Maybe,Maybe,Don't know
27,M,Germany,Yes,Sometimes,No,Yes,Maybe,No
23,M,Germany,Yes,Often,Yes,No,Maybe,Don't know
18,M,Finland,No,N/N,Yes,Yes,No,Don't know
30,F,United States,No,N/N,No,Maybe,No,Don't know
23,M,United States,No,Never,No,No,No,Yes
43,M,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
18,F,United Kingdom,Yes,Sometimes,Yes,Maybe,Maybe,Don't know
29,M,United States,Yes,Rarely,No,Maybe,No,Don't know
48,M,United States,No,Never,No,Maybe,No,Don't know
43,M,Germany,Yes,Sometimes,No,Maybe,No,No
28,F,United States,Yes,Sometimes,No,Yes,Maybe,Don't know
30,M,United States,Yes,Often,Yes,No,No,Yes
26,M,Israel,No,Sometimes,No,Maybe,No,Yes
33,M,Italy,No,Never,No,Maybe,Maybe,No
31,M,United States,No,N/N,No,No,No,Yes
30,M,United States,No,Rarely,No,No,No,Don't know
